NEAREST_AGENCY_DISTANCE,NEAREST_AGENCY_DUREE,NEAREST_AGENCY_LABEL,ZIP_CODE
74693,61,Lyon,69770
24806,42,Cergy-Pontoise,95320
119956,73,Montpellier,11540
43294,37,Bordeaux,33550
63336,39,Donzère (reprise uniquement),26500
178152,118,Tours,87210
13267,11,Caen,14460
82449,49,Rouen,80430
36193,38,Toulon,83610
95494,77.383333333,Saint-Germain-en-Laye,28250
135372,106,Strasbourg,88530
54693,44.95,Nantes,49123
32589,35,Avignon,13810
138281,83,Les Ulis,45730
21644,20,Lyon,1360
61976,42.083333333,Nantes,49122
65379,51,Lille,62158
56576,36,Annecy,74970
18015,36,Cergy-Pontoise,95750
124972,92,Nantes,79450
19475,37,Cergy-Pontoise,95530
100301,61,Strasbourg,68890
25407,22,Lille,59496
100192,61,Lille,62500
20573,24,Bordeaux,33140
41610,31,Lille,59176
45662,36,Bordeaux,33570
44387,38,Reims,8360
12695,15,Montpellier,34160
12000,7,Poitiers,86440
92820,67,Strasbourg,68650
134501,91,Dijon,25930
44235,36,Aix-en-Provence,13117
33463,50,Melun,77330
57930,54,Toulouse,82500
56835,71,Saint-Germain-en-Laye,78550
83965,58,Lyon,7430
52965,43,Caen,14690
37203,28,Avignon,84300
62673,47.233333333,Nantes,44290
25477,42,Paris,95350
25516,23,Caen,14114
164364,100,Bordeaux,17470
112336,113,Donzère (reprise uniquement),7590
91718,53,Lyon,1340
168646,102,Bordeaux,40180
20592,28,Grenoble,38410
29830,22,Aix-en-Provence,84120
168631,111,Bordeaux,40350
75915,53,Lille,59217
78933,57,Bordeaux,17520
37925,31,Bordeaux,33880
159712,105,Clermont-Ferrand,43170
99177,61,Toulouse,82400
50565,30,Clermont-Ferrand,63250
112707,74,Toulouse,47270
107602,68,Dijon,70700
8646,12,Dijon,21240
17488,35,Saint-Germain-en-Laye,78500
12578,16,Toulouse,31320
53864,39,Lyon,42420
69213,48,Mougins,83120
87973,65,Clermont-Ferrand,42136
18280,19,Grenoble,38420
23292,40,Lille,59150
122637,86,Toulouse,47470
104485,68,Paris,60157
50607,36,Annecy,74420
11824,12.316666667,Rennes,35520
100917,86,Dijon,10250
118482,83,Caen,50840
89459,68,Clermont-Ferrand,43440
122533,95,Toulouse,32700
81065,60,Lille,59191
27527,24.183333333,Nantes,44860
91617,60.716666667,Rennes,53420
271373,193,Bordeaux,64560
100419,79.083333333,Rouen,27580
212012,147,Toulouse,15600
41457,33,Bordeaux,33114
80452,72,Nice,6850
44276,35,Avignon,84220
97448,67,Metz,57136
79425,65,Clermont-Ferrand,3420
50998,42.483333333,Lorient,56870
3529,18,Bordeaux,33320
75952,68,Annecy,1220
73171,50,Lille,62124
177512,127,Toulouse,12110
113271,96,Donzère (reprise uniquement),43400
7435,26,Paris,92100
128741,82,Clermont-Ferrand,3230
28336,26,Aix-en-Provence,13013
135984,93,Caen,61360
92585,61,Toulouse,82390
57815,55.7,Tours,72120
44670,60,Cergy-Pontoise,60580
45127,42,Bordeaux,33680
28121,45,Bordeaux,33810
114971,95,Montpellier,30750
16554,34,Lille,59650
60165,41,Rouen,76450
67505,55,Cergy-Pontoise,60600
17472,24,Mougins,6530
57118,56,Dijon,70100
75595,57,Reims,8290
26238,43,Cergy-Pontoise,95590
159469,100,Toulouse,65140
60001,42,Dijon,39410
45000,38,Nemours,89340
67161,71,Aix-en-Provence,83670
22025,39,Paris,93460
54633,36,Lille,59220
15967,16,Caen,14480
38590,38,Avignon,30210
85834,58,Montpellier,34480
26413,22,Aix-en-Provence,13650
128405,92,Dijon,39520
82559,54,Lille,59760
38629,32,Tours,37310
49063,64,Paris,60330
22086,39,Paris,78210
60735,45,Dijon,21350
29669,27,Donzère (reprise uniquement),7350
104841,68,Caen,50350
13716,32,Paris,92400
79878,66.133333333,Nantes,53800
122008,86,Tours,18310
29433,27,Clermont-Ferrand,63160
80174,71.383333333,Tours,72200
60000,60,Poitiers,36220
13444,18,Lille,59272
92118,66,Mougins,83840
86859,55,Aix-en-Provence,4310
27501,25,Nice,6320
99733,69,Strasbourg,54480
187427,108,Bordeaux,40220
123905,76,Lille,2480
23471,16,Lille,62970
24919,42,Les Ulis,78320
72443,48,Annecy,74440
154396,107,Lyon,71600
112014,74,Nantes,85340
141351,95,Nantes,17139
12430,16.333333333,Rennes,35650
51485,33,Lyon,69460
177504,102,Bordeaux,40150
110454,75,Strasbourg,68840
57543,67,Mougins,6750
118386,67,Grenoble,73140
70828,46,Lille,62147
168125,91,Clermont-Ferrand,19800
139670,120,Tours,36120
14130,19,Toulouse,31120
161994,108,Clermont-Ferrand,58260
112797,79,Clermont-Ferrand,43350
190027,105,Clermont-Ferrand,19140
99555,71,Paris,60420
30802,26,Aix-en-Provence,13860
59945,44,Bordeaux,33980
200590,116,Clermont-Ferrand,23300
58445,51,Toulouse,32430
107344,69,Bordeaux,24190
29493,27,Dijon,21260
