timestamp,latitude,longitude,altitude,heart_rate,power,cadence,speed,temperature,distance
2026-01-15T09:20:11.000Z,,,0.3,,74,65,17.6148,,0.19376
2026-01-15T09:20:12.000Z,,,0.3,,82,66,20.1996,,0.19901
2026-01-15T09:20:13.000Z,,,0.3,,84,67,21.290399999999998,,0.20551
2026-01-15T09:20:14.000Z,,,0.3,,84,67,19.9044,,0.21043
2026-01-15T09:20:15.000Z,,,0.3,,95,69,22.4892,,0.21601
2026-01-15T09:20:16.000Z,,,0.3,,104,72,26.6184,,0.22396000000000002
2026-01-15T09:20:17.000Z,,,0.3,,81,74,21.0708,,0.23021000000000003
2026-01-15T09:20:18.000Z,,,0.3,,65,73,13.4388,,0.2335
2026-01-15T09:20:19.000Z,,,0.3,,69,72,17.3736,,0.23858000000000001
2026-01-15T09:20:20.000Z,,,0.3,,71,72,18.1944,,0.24344
2026-01-15T09:20:21.000Z,,,0.3,,68,71,16.5564,,0.2487
2026-01-15T09:20:22.000Z,,,0.3,,67,70,16.2468,,0.25283
2026-01-15T09:20:23.000Z,,,0.3,,67,69,17.197200000000002,,0.25701
2026-01-15T09:20:24.000Z,,,0.3,,71,69,16.7832,,0.26222
2026-01-15T09:20:25.000Z,,,0.3,,79,69,22.5396,,0.26783999999999997
2026-01-15T09:20:26.000Z,,,0.3,,81,70,18.183600000000002,,0.27368000000000003
2026-01-15T09:20:27.000Z,,,0.3,,80,71,20.5956,,0.27862000000000003
2026-01-15T09:20:28.000Z,,,0.3,,84,71,20.4048,,0.2838
2026-01-15T09:20:29.000Z,,,0.3,,84,73,21.9384,,0.29023000000000004
2026-01-15T09:20:30.000Z,,,0.3,,76,73,17.8344,,0.29631
2026-01-15T09:20:31.000Z,,,0.3,,62,72,14.9868,,0.30044
2026-01-15T09:20:32.000Z,,,0.3,,68,71,14.921999999999999,,0.30462
2026-01-15T09:20:33.000Z,,,0.3,,84,71,21.4344,,0.30983
2026-01-15T09:20:34.000Z,,,0.3,,91,73,23.0364,,0.31544
2026-01-15T09:20:35.000Z,,,0.3,,83,74,18.5472,,0.32221
2026-01-15T09:20:36.000Z,,,0.3,,75,74,19.8468,,0.32722
2026-01-15T09:20:37.000Z,,,0.3,,76,74,18.7344,,0.33265
2026-01-15T09:20:38.000Z,,,0.3,,71,74,18.198,,0.33766
2026-01-15T09:20:39.000Z,,,0.3,,64,73,15.552000000000001,,0.34185000000000004
2026-01-15T09:20:40.000Z,,,0.3,,65,72,17.1324,,0.34598
2026-01-15T09:20:41.000Z,,,0.3,,73,71,16.7148,,0.35032
2026-01-15T09:20:42.000Z,,,0.3,,80,72,20.998800000000003,,0.3564
2026-01-15T09:20:43.000Z,,,0.3,,81,72,20.1996,,0.36149000000000003
2026-01-15T09:20:44.000Z,,,0.3,,81,73,20.026799999999998,,0.36705000000000004
2026-01-15T09:20:45.000Z,,,0.3,,84,74,20.0952,,0.373
